pedido_id,data_pedido,produto,categoria,uf,canal,quantidade,preco_unitario,desconto_pct,valor_total,cliente_recorrente,avaliacao
PED-100000,27/08/2025,Webcam HD,Áudio,MG,Loja Física,2,"R$ 269,46","4,8%","R$ 595,34",sim,3.0
PED-100001,04/02/2025,Notebook Pro,Computadores,RS,E-commerce,2,"R$ 7.173,77","4,6%","R$ 18.356,44",nao,4.0
PED-100002,13/03/2025,"Monitor 27""",Periféricos,PE,Marketplace,1,"R$ 1.420,68","8,2%","R$ 1.900,03",nao,2.0
PED-100003,28/07/2025,Notebook Pro,Computadores,SP,Loja Física,4,"R$ 7.546,30","14,9%","R$ 33.100,57",sim,3.0
PED-100004,05/01/2025,"Monitor 27""",Periféricos,SP,Televendas,1,"R$ 1.471,70","8,8%","R$ 1.600,68",sim,3.0
PED-100005,11/05/2025,"Monitor 27""",Periféricos,BA,Loja Física,3,"R$ 1.374,55","6,2%","R$ 5.785,55",sim,1.0
PED-100006,17/06/2025,Cadeira Ergo,Mobiliário,MG,E-commerce,1,"R$ 1.798,63","11,9%","R$ 2.236,34",nao,3.0
PED-100007,24/05/2024,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.506,70","0,0%","R$ 1.908,57",nao,2.0
PED-100008,05/02/2024,Notebook Pro,Computadores,RS,Televendas,2,"R$ 6.344,35","14,6%","R$ 12.227,53",sim,1.0
PED-100009,11/07/2024,Mouse Sem Fio,Periféricos,SP,E-commerce,2,"R$ 198,50","9,5%","R$ 393,85",nao,2.0
PED-100010,01/07/2024,Teclado Mecânico,Periféricos,RS,Marketplace,2,"R$ 430,66","0,4%","R$ 940,65",sim,2.0
PED-100011,13/07/2025,Teclado Mecânico,Periféricos,SP,E-commerce,1,"R$ 428,83","4,7%","R$ 526,22",nao,1.0
PED-100012,07/08/2025,Headset,Áudio,RJ,Loja Física,1,"R$ 343,17","5,6%","R$ 375,90",sim,5.0
PED-100013,04/01/2024,Mouse Sem Fio,Periféricos,SP,Marketplace,1,"R$ 168,77","4,2%","R$ 161,69",sim,2.0
PED-100014,15/11/2024,"Monitor 27""",Periféricos,SP,E-commerce,6,"R$ 1.576,72","7,9%","R$ 8.181,19",nao,4.0
PED-100015,09/06/2025,Mouse Sem Fio,Periféricos,SP,Televendas,1,"R$ 165,11","6,3%","R$ 218,48",nao,3.0
PED-100016,25/03/2024,Cadeira Ergo,Mobiliário,RJ,Marketplace,2,"R$ 1.859,05","4,3%","R$ 4.371,39",sim,1.0
PED-100017,25/05/2025,Mesa Ajustável,Mobiliário,PR,Marketplace,3,"R$ 2.254,43","1,1%","R$ 10.004,08",sim,3.0
PED-100018,17/03/2024,Mouse Sem Fio,Periféricos,RJ,Loja Física,4,"R$ 191,26","16,6%","R$ 783,46",nao,5.0
PED-100019,26/10/2024,Mouse Sem Fio,Periféricos,SC,E-commerce,1,"R$ 201,60","5,1%","R$ 170,63",nao,4.0
PED-100020,06/06/2025,Headset,Áudio,MG,Televendas,3,"R$ 325,10","0,0%","R$ 1.377,05",sim,2.0
PED-100021,12/07/2024,Mesa Ajustável,Mobiliário,RJ,Marketplace,1,"R$ 2.398,18","11,0%","R$ 2.340,14",nao,4.0
PED-100022,06/08/2024,"Monitor 27""",Periféricos,PR,E-commerce,2,"R$ 1.424,23","8,4%","R$ 1.497,91",nao,4.0
PED-100023,27/06/2024,Cadeira Ergo,Mobiliário,GO,Loja Física,4,"R$ 2.008,80","7,5%","R$ 8.906,82",sim,2.0
PED-100024,05/04/2025,Teclado Mecânico,Periféricos,SP,Televendas,5,"R$ 399,79","5,2%","R$ 2.866,37",sim,1.0
PED-100025,12/06/2024,Notebook Pro,Computadores,GO,E-commerce,2,"R$ 7.273,91","11,5%","R$ 15.441,72",nao,2.0
PED-100026,25/09/2025,Webcam HD,Áudio,BA,Marketplace,3,"R$ 280,98","8,4%","R$ 825,27",nao,3.0
PED-100027,11/10/2024,Webcam HD,Áudio,SP,Televendas,2,"R$ 317,35","3,3%","R$ 547,42",nao,
PED-100028,02/11/2024,Mesa Ajustável,Mobiliário,PE,E-commerce,5,"R$ 2.565,16","1,5%","R$ 11.857,73",sim,1.0
PED-100029,18/11/2024,Headset,Áudio,SP,Televendas,2,"R$ 349,95","12,3%","R$ 576,47",nao,1.0
PED-100030,07/01/2025,"Monitor 27""",Periféricos,SP,E-commerce,1,"R$ 1.561,54","6,7%","R$ 1.736,74",nao,5.0
PED-100031,20/12/2024,Headset,Áudio,GO,Televendas,1,"R$ 325,98","10,5%","R$ 305,46",sim,3.0
PED-100032,22/11/2024,Cadeira Ergo,Mobiliário,MG,Marketplace,2,"R$ 1.819,13","4,1%","R$ 3.277,45",sim,1.0
PED-100033,29/09/2025,Mesa Ajustável,Mobiliário,MG,Marketplace,2,"R$ 2.361,72","3,5%","R$ 4.868,66",sim,5.0
PED-100034,31/05/2025,"Monitor 27""",Periféricos,SP,Televendas,2,"R$ 1.308,64","0,9%","R$ 3.877,35",sim,
PED-100035,22/05/2025,Mouse Sem Fio,Periféricos,SP,Marketplace,1,"R$ 180,68","4,9%","R$ 256,95",sim,2.0
PED-100036,24/03/2025,Mouse Sem Fio,Periféricos,PR,Televendas,4,"R$ 168,92","2,3%","R$ 961,62",sim,3.0
PED-100037,02/02/2025,Mesa Ajustável,Mobiliário,PE,E-commerce,4,"R$ 2.241,31","6,6%","R$ 11.225,91",sim,3.0
PED-100038,06/08/2024,Mesa Ajustável,Mobiliário,SP,Televendas,2,"R$ 2.454,87","9,7%","R$ 2.546,08",nao,2.0
PED-100039,24/09/2025,Headset,Áudio,SC,Loja Física,1,"R$ 343,12","10,1%","R$ 329,64",sim,4.0
PED-100040,25/10/2024,Headset,Áudio,RS,Televendas,1,"R$ 370,16","19,4%","R$ 266,25",sim,5.0
PED-100041,17/05/2024,Cadeira Ergo,Mobiliário,SP,Loja Física,1,"R$ 1.807,43","5,1%","R$ 2.173,56",sim,4.0
PED-100042,24/06/2025,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.438,68","0,0%","R$ 2.031,30",sim,2.0
PED-100043,12/04/2024,Mouse Sem Fio,Periféricos,BA,Loja Física,1,"R$ 200,37","2,0%","R$ 251,19",sim,1.0
PED-100044,02/07/2025,Mesa Ajustável,Mobiliário,BA,Loja Física,1,"R$ 2.572,63","18,5%","R$ 2.700,29",sim,3.0
PED-100045,27/01/2025,Headset,Áudio,CE,E-commerce,3,"R$ 368,90","8,4%","R$ 1.209,01",sim,3.0
PED-100046,14/03/2024,Cadeira Ergo,Mobiliário,RJ,Marketplace,2,"R$ 2.034,66","6,1%","R$ 4.693,48",nao,3.0
PED-100047,29/01/2024,Webcam HD,Áudio,PR,Loja Física,1,"R$ 272,82","0,0%","R$ 272,78",nao,4.0
PED-100048,11/10/2024,Notebook Pro,Computadores,CE,Televendas,1,"R$ 7.065,25","13,9%","R$ 5.426,27",nao,3.0
PED-100049,23/01/2024,Cadeira Ergo,Mobiliário,SP,Televendas,3,"R$ 1.863,49","2,7%","R$ 5.440,51",sim,3.0
PED-100050,31/03/2024,Cadeira Ergo,Mobiliário,RJ,E-commerce,1,"R$ 2.016,43","8,0%","R$ 2.279,88",sim,2.0
PED-100051,25/11/2024,Cadeira Ergo,Mobiliário,PE,E-commerce,2,"R$ 1.985,43","11,2%","R$ 3.309,79",sim,1.0
PED-100052,12/09/2025,"Monitor 27""",Periféricos,SP,Loja Física,3,"R$ 1.410,66","5,4%","R$ 4.276,18",sim,4.0
PED-100053,25/10/2024,Teclado Mecânico,Periféricos,PE,E-commerce,5,"R$ 448,37","6,9%","R$ 1.862,19",sim,1.0
PED-100054,01/06/2025,Notebook Pro,Computadores,SP,E-commerce,1,"R$ 6.878,39","8,9%","R$ 8.849,77",sim,5.0
PED-100055,09/08/2025,Teclado Mecânico,Periféricos,SP,E-commerce,1,"R$ 425,84","8,5%","R$ 452,38",sim,1.0
PED-100056,11/06/2025,Notebook Pro,Computadores,GO,E-commerce,3,"R$ 6.726,61","7,3%","R$ 26.402,48",sim,3.0
PED-100057,06/02/2025,Cadeira Ergo,Mobiliário,PR,Loja Física,1,"R$ 2.035,45","7,9%","R$ 2.513,07",nao,
PED-100058,09/10/2024,Headset,Áudio,SC,Marketplace,1,"R$ 336,52","10,3%","R$ 269,32",nao,4.0
PED-100059,25/11/2024,Webcam HD,Áudio,GO,Televendas,2,"R$ 285,13","6,5%","R$ 500,42",sim,
PED-100060,19/06/2024,"Monitor 27""",Periféricos,RJ,Televendas,4,"R$ 1.497,59","7,1%","R$ 6.668,17",sim,2.0
